1,Jean-Luc,2,2024-08-17T04:21:02.374+05:30
32,Nog,281,2024-08-17T04:21:02.374+05:30
126,Brunt,84,2024-08-17T04:21:02.374+05:30
165,Leeta,282,2024-08-17T04:21:02.374+05:30
178,Kasidy,381,2024-08-17T04:21:02.374+05:30
182,Weyoun,145,2024-08-17T04:21:02.374+05:30
219,Lwaxana,345,2024-08-17T04:21:02.374+05:30
228,Martok,293,2024-08-17T04:21:02.374+05:30
268,Ezri,298,2024-08-17T04:21:02.374+05:30
280,Nerys,492,2024-08-17T04:21:02.374+05:30
284,Nog,269,2024-08-17T04:21:02.374+05:30
343,Odo,254,2024-08-17T04:21:02.374+05:30
357,Brunt,7,2024-08-17T04:21:02.374+05:30
368,Elim,383,2024-08-17T04:21:02.374+05:30
398,Lwaxana,124,2024-08-17T04:21:02.374+05:30
420,Jadzia,391,2024-08-17T04:21:02.374+05:30
459,Geordi,84,2024-08-17T04:21:02.374+05:30
